PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhang, YN; Ke, ZD; Guo, DS; Li, F				Zhang, Yunong; Ke, Zhende; Guo, Dongsheng; Li, Fen			Solving for time-varying and static cube roots in real and complex domains via discrete-time ZD models	NEURAL COMPUTING & APPLICATIONS																	Guo, Dongsheng/AAT-7475-2020														0941-0643	1433-3058				AUG	2013	23	2					255	268		10.1007/s00521-012-0842-4	http://dx.doi.org/10.1007/s00521-012-0842-4													WOS:000322139500001
C	Chen, ZH; Yang, F; Shang, L; Zeng, X		IEEE		Chen, Zihao; Yang, Fan; Shang, Li; Zeng, Xuan			Automated and Agile Design of Layout Hotspot Detector via Neural Architecture Search	2023 DESIGN, AUTOMATION & TEST IN EUROPE CONFERENCE & EXHIBITION, DATE	Design Automation and Test in Europe Conference and Exhibition				Design, Automation and Test in Europe Conference and Exhibition (DATE)	APR 17-19, 2023	Antwerp, BELGIUM	European Design & Automat Assoc, Elect Syst Design Alliance, IEEE Council Elect Design Automat, ACM Special Interest Grp Design Automat, IEEE Comp Soc Test Technol Tech Community, IEEE Solid State Circuits Soc, Cadence Design Syst, Siemens EDA, Synopsys Inc, Robert Bosch GmbH, Res Fdn Flanders, Raycics, Springer Nature, TOOL Corp, X FAB Semicond Foundries									zeng, xuan/KFR-4309-2024; li, Shang/KHU-3233-2024; Chen, Zi-Hao/GNM-8284-2022; Chen, Zihao/A-6694-2015	Chen, Zihao/0000-0003-2635-6219													1530-1591		979-8-3503-9624-9				2023										10.23919/DATE56975.2023.10137142	http://dx.doi.org/10.23919/DATE56975.2023.10137142													WOS:001027444200186
J	Hernández-Castañeda, A; Calvo, H; Gelbukh, A; Flores, JJG				Hernandez-Castaneda, Angel; Calvo, Hiram; Gelbukh, Alexander; Flores, Jorge J. Garcia			Cross-domain deception detection using support vector networks	SOFT COMPUTING																	Gelbukh, Alexander/A-8979-2008; Hernández-Castañeda, Ángel/T-5067-2019; Calvo, Hiram/J-5773-2019	Gelbukh, Alexander/0000-0001-7845-9039; Calvo, Hiram/0000-0003-2836-2102; Hernandez-Castaneda, Angel/0000-0002-2811-0813													1432-7643	1433-7479				FEB	2017	21	3			SI		585	595		10.1007/s00500-016-2409-2	http://dx.doi.org/10.1007/s00500-016-2409-2													WOS:000394317500004
C	Li, J; Liu, GJ; Jiang, CJ; Yan, CG			IEEE	Li, Jian; Liu, Guanjun; Jiang, Changjun; Yan, Chungang			A Hybrid Method of Recommending POIs Based on Context and Personal Preference Confidence	2016 3RD IEEE/ACM INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING, APPLICATIONS AND TECHNOLOGIES (BDCAT)					3rd IEEE/ACM International Conference on Big Data Computing Applications and Technologies (BDCAT)	DEC 06-09, 2016	Shanghai, PEOPLES R CHINA	IEEE, Assoc Comp Machinery, IEEE Comp Soc, SIGHPC, IEEE TCSC, Tongji Univ																									978-1-4503-4617-7				2016							287	292		10.1145/3006299.3006330	http://dx.doi.org/10.1145/3006299.3006330													WOS:000408919800032
J	Tsui, LK; Benavidez, A; Palanisamy, P; Evans, L; Garzon, F				Tsui, Lok-kun; Benavidez, Angelica; Palanisamy, Ponnusamy; Evans, Lindsey; Garzon, Fernando			Quantitative decoding of the response a ceramic mixed potential sensor array for engine emissions control and diagnostics	SENSORS AND ACTUATORS B-CHEMICAL																	Benavidez, Angelica/IQT-1005-2023	Benavidez, Angelica/0000-0001-7808-453X													0925-4005					OCT	2017	249						673	684		10.1016/j.snb.2017.04.060	http://dx.doi.org/10.1016/j.snb.2017.04.060													WOS:000403031500078
J	Tokos, H; Pintaric, ZN				Tokos, Hella; Pintaric, Zorka Novak			Development of a MINLP model for the optimization of a large industrial water system	OPTIMIZATION AND ENGINEERING																	Novak Pintaric, Zorka/IUP-4540-2023														1389-4420	1573-2924				DEC	2012	13	4					625	662		10.1007/s11081-011-9162-2	http://dx.doi.org/10.1007/s11081-011-9162-2													WOS:000311203800005
J	Golubchik, L; Lui, JCS				Golubchik, L; Lui, JCS			Performance tradeoffs in scheduling techniques for mixed workloads	MULTIMEDIA TOOLS AND APPLICATIONS																	de Souza e Silva, Edmundo/AAG-7454-2019	de Souza e Silva, Edmundo/0000-0003-0912-7860													1380-7501	1573-7721				NOV	2003	21	2					147	172		10.1023/A:1025568625411	http://dx.doi.org/10.1023/A:1025568625411													WOS:000185125000003
J	Guillén, G; Mele, FD; Espuña, A; Puigjaner, L				Guillen, Gonzalo; Mele, Fernando D.; Espuna, Antonio; Puigjaner, Luis			Addressing the design of chemical supply chains under demand uncertainty	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH																	Mele, Fernando Daniel/AAO-9653-2020; Puigjaner, Luis/K-4932-2019; Guillén-Gosálbez, Gonzalo/C-4125-2011; Espuña, Antonio/A-6897-2009; Guillen-Gosalbez, Gonzalo/G-3531-2016	Mele, Fernando Daniel/0000-0003-4401-7878; Puigjaner, Luis/0000-0001-6133-4029; Guillén-Gosálbez, Gonzalo/0000-0003-2923-1518; Guillen-Gosalbez, Gonzalo/0000-0001-6074-8473													0888-5885					OCT 25	2006	45	22					7566	7581		10.1021/ie051424a	http://dx.doi.org/10.1021/ie051424a													WOS:000241360500025
J	Majeed, MH; Ahmed, RK; Alnasar, SI; Mahmood, OA; Muthanna, MSA; Muthanna, A				Majeed, Majidah H.; Ahmed, Riyadh Khlf; Alnasar, Suha I.; Mahmood, Omar Abdulkareem; Muthanna, Mohammed Saleh Ali; Muthanna, Ammar			Dual wavelength signal generation with four wave mixing based on directly modulated laser	OPTICAL FIBER TECHNOLOGY																															1068-5200	1095-9912				DEC	2024	88								103821	10.1016/j.yofte.2024.103821	http://dx.doi.org/10.1016/j.yofte.2024.103821													WOS:001238687000001
C	Gumte, KG; Mitra, K				Gumte, Kapil G.; Mitra, K.			Strategic biofuel supply chain network design and techno-economic-environmental analysis for an Indian scenario	IFAC PAPERSONLINE					6th Conference on Advances in Control and Optimization of Dynamical Systems (ACODS)	FEB 16-19, 2020	Indian Inst Technol Madras, Chennai, INDIA	Int Federat Automat Control Tech Comm 7 3 Aerosp, Int Federat Automat Control Tech Comm 8 2 Biol & Med Syst, Int Federat Automat Control Tech Comm 9 4 Control Educ, Int Federat Automat Control, Govt India, Def Res & Dev Org, Indian Inst Technol Madras, Off Int Relat & Alumni Affairs, Indian Inst Technol Madras, Robert Bosch Ctr Data Sci & Artificial Intelligence, Honeywell Proc Solut, MathWorks India Pvt Ltd, Springer Na India Pvt Ltd, Indian Inst Technol Madras, Natl Program Technol Enhanced Learning, Gen Elect India Ind Pvt Ltd, Automat Control Optimizat & Dynam Soc	Indian Inst Technol Madras								Mitra, Kishalay/T-2361-2019; gumte, kapil/AGE-9923-2022	Mitra, Kishalay/0000-0001-5660-6878; gumte, kapil/0000-0001-8151-8554													2405-8963						2020	53	1					69	74		10.1016/j.ifacol.2020.06.012	http://dx.doi.org/10.1016/j.ifacol.2020.06.012													WOS:000577797400013
