PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Sun, YG; Tian, YZ; Xie, XJ				Sun, Yuangong; Tian, Yazhou; Xie, Xue-Jun			Stabilization of Positive Switched Linear Systems and Its Application in Consensus of Multiagent Systems	IEEE TRANSACTIONS ON AUTOMATIC CONTROL																		Tian, Yazhou/0000-0001-7762-4477													0018-9286	1558-2523				DEC	2017	62	12					6608	6613		10.1109/TAC.2017.2713951	http://dx.doi.org/10.1109/TAC.2017.2713951													WOS:000417090000054
J	Kim, JK; Smith, R				Kim, JK; Smith, R			Automated design of discontinuous water systems	PROCESS SAFETY AND ENVIRONMENTAL PROTECTION																	Smith, Robin J/P-3019-2016														0957-5820	1744-3598				MAY	2004	82	B3					238	248		10.1205/095758204323066000	http://dx.doi.org/10.1205/095758204323066000													WOS:000221651600007
J	Ali, W; Li, YA; Raja, MAZ; Khan, WU; He, YG				Ali, Wasiq; Li, Yaan; Raja, Muhammad Asif Zahoor; Khan, Wasim Ullah; He, Yigang			State Estimation of an Underwater Markov Chain Maneuvering Target Using Intelligent Computing	ENTROPY																	Raja, Muhammad Asif Zahoor/D-7325-2013; Awais, Muhammad/HCI-3725-2022; Khan, Wasim Ullah/HKN-5802-2023	Raja, Muhammad Asif Zahoor/0000-0001-9953-822X; Ali, Wasiq/0000-0002-0868-334X; Li, Yaan/0000-0001-5973-9780														1099-4300				SEP	2021	23	9							1124	10.3390/e23091124	http://dx.doi.org/10.3390/e23091124								34573749					WOS:000700707900001
J	Anup, S; Sivakumar, SM; Suraishkumar, GK				Anup, S.; Sivakumar, S. M.; Suraishkumar, G. K.			Influence of viscoelasticity of protein on the toughness of bone	JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS																	S, Anup/N-5390-2016	Srinivasan, Sivakumar M/0000-0002-5095-1176; Suraishkumar, GK/0000-0002-6521-4494													1751-6161	1878-0180				APR	2010	3	3					260	267		10.1016/j.jmbbm.2009.10.007	http://dx.doi.org/10.1016/j.jmbbm.2009.10.007								20142110					WOS:000274716400004
J	Cobeña, B; Contreras, I; Martínez-Merino, LI; Rodríguez-Chía, AM				Cobena, Brenda; Contreras, Ivan; Martinez-Merino, Luisa I.; Rodriguez-Chia, Antonio M.			The profit-oriented hub line location problem with elastic demand	COMPUTERS & OPERATIONS RESEARCH																	Rodríguez-Chía, Antonio Manuel/K-4435-2014	Rodríguez-Chía, Antonio Manuel/0000-0002-1708-2108; Martinez-Merino, Luisa I./0000-0002-3386-9648													0305-0548	1873-765X				NOV	2023	159								106335	10.1016/j.cor.2023.106335	http://dx.doi.org/10.1016/j.cor.2023.106335		JUL 2023											WOS:001041044200001
J	Praeger, M; Xie, YH; Grant-Jacob, JA; Eason, RW; Mills, B				Praeger, Matthew; Xie, Yunhui; Grant-Jacob, James A.; Eason, Robert W.; Mills, Ben			Playing optical tweezers with deep reinforcement learning: in virtual, physical and augmented environments	MACHINE LEARNING-SCIENCE AND TECHNOLOGY																	Grant-Jacob, James/GZK-9967-2022; Praeger, Matthew/ABB-1939-2021	Grant-Jacob, James/0000-0002-4270-4247; Praeger, Matthew/0000-0002-5814-6155; Mills, Benjamin/0000-0002-1784-1012; Xie, Yunhui/0000-0002-8841-7235; Eason, Robert/0000-0001-9704-2204														2632-2153				SEP	2021	2	3							035024	10.1088/2632-2153/abf0f6	http://dx.doi.org/10.1088/2632-2153/abf0f6													WOS:000663130800001
J	de Rosa, GH; Papa, JP				de Rosa, Gustavo H.; Papa, Joao P.			A survey on text generation using generative adversarial networks	PATTERN RECOGNITION																		de Rosa, Gustavo Henrique/0000-0002-6442-8343													0031-3203	1873-5142				NOV	2021	119								108098	10.1016/j.patcog.2021.108098	http://dx.doi.org/10.1016/j.patcog.2021.108098		JUN 2021											WOS:000679471100006
C	Rabi, M; Baras, JS			IEEE	Rabi, Maben; Baras, John S.			Level-triggered control of a scalar linear system	2007 MEDITERRANEAN CONFERENCE ON CONTROL & AUTOMATION, VOLS 1-4	Mediterranean Conference on Control and Automation				15th Mediterranean Conference on Control and Automation	JUN 27-29, 2007	Athens, GREECE	ADVANTECH SA, Univ Texas Arlington, Automat & Robot Res Inst, Natl Tech Univ Athens, Tech Univ Crete, Univ S Florida, Univ Zagreb, IEEE Control Syst Soc, IEEE Robot & Automat Soc, Mediterranean Control Assoc										Rabi, Maben/0000-0003-1155-5717													2325-369X		978-1-4244-1281-5				2007							1896	+																WOS:000257100800323
J	Liu, YY; Chu, YK; Che, WW				Liu Ying-ying; Chu Yun-kai; Che Wei-wei			Guaranteed cost control of networked control systems under limited communication capacity and variable sampling	JOURNAL OF CENTRAL SOUTH UNIVERSITY																															2095-2899	1993-0666				MAR	2014	21	3					978	986		10.1007/s11771-014-2027-z	http://dx.doi.org/10.1007/s11771-014-2027-z													WOS:000333116900020
J	Lin, YF				Lin, Yi-Fong			Solution Approach for Bus Transit Model with a Rectangular Service Area	MATHEMATICS																		Lin, Yi - Fong/0000-0003-3728-1013														2227-7390				FEB	2022	10	3							514	10.3390/math10030514	http://dx.doi.org/10.3390/math10030514													WOS:000756025200001
C	Petersen, F; Borgelt, C; Kuehne, H; Deussen, O		Ranzato, M; Beygelzimer, A; Dauphin, Y; Liang, PS; Vaughan, JW		Petersen, Felix; Borgelt, Christian; Kuehne, Hilde; Deussen, Oliver			Learning with Algorithmic Supervision via Continuous Relaxations	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021)	Advances in Neural Information Processing Systems				35th Conference on Neural Information Processing Systems (NeurIPS)	DEC 06-14, 2021	ELECTR NETWORK										Deussen, Oliver/HKF-2004-2023; Kuehne, Hilde/AAW-6860-2021	Kuehne, Hilde/0000-0003-1079-4441													1049-5258						2021	34																							WOS:000922928206040
J	Afshar, MH; Akbari, M; Mariño, MA				Afshar, M. H.; Akbari, M.; Marino, M. A.			Simultaneous Layout and Size Optimization of Water Distribution Networks: Engineering Approach	JOURNAL OF INFRASTRUCTURE SYSTEMS																	Akbari, Mahmood/N-3149-2018; Afshar/S-8867-2018	afshar, mohammad hadi/0000-0002-8270-2086; Akbari, Mahmood/0000-0002-1319-6079													1076-0342					DEC	2005	11	4					221	230		10.1061/(ASCE)1076-0342(2005)11:4(221)	http://dx.doi.org/10.1061/(ASCE)1076-0342(2005)11:4(221)													WOS:000208505500004
J	Baghalian, A; Rezapour, S; Farahani, RZ				Baghalian, Atefeh; Rezapour, Shabnam; Farahani, Reza Zanjirani			Robust supply chain network design with service level against disruptions and demand uncertainties: A real-life case	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Zanjirani Farahani, Reza/KCJ-6714-2024	Zanjirani Farahani, Reza/0000-0002-7383-4714													0377-2217	1872-6860				MAY 16	2013	227	1					199	215		10.1016/j.ejor.2012.12.017	http://dx.doi.org/10.1016/j.ejor.2012.12.017													WOS:000314858100021
J	Dai, H; Xie, J; Chen, WS				Dai, Hao; Xie, Jin; Chen, Weisheng			Event-Triggered Distributed Cooperative Learning Algorithms over Networks via Wavelet Approximation	NEURAL PROCESSING LETTERS																	Chen, Weisheng/C-4749-2013														1370-4621	1573-773X				AUG	2019	50	1					669	700		10.1007/s11063-019-10031-x	http://dx.doi.org/10.1007/s11063-019-10031-x													WOS:000479247900036
J	Zhang, MK; Alenezi, B; Hui, S; Zak, SH				Zhang, Mukai; Alenezi, Badriah; Hui, Stefen; Zak, Stanislaw H.			Unknown Input Observers for Discretized Systems With Application to Networked Systems Corrupted by Sparse Malicious Packet Drops	IEEE CONTROL SYSTEMS LETTERS																	Zhang, Mukai/KII-8199-2024	Alenezi, Badriah/0000-0002-2860-4194; Zhang, Mukai/0000-0002-3307-9267													2475-1456					OCT	2021	5	4					1261	1266		10.1109/LCSYS.2020.3031454	http://dx.doi.org/10.1109/LCSYS.2020.3031454													WOS:000587680800001
J	Rakkiyappan, R; Zhu, QX; Radhika, T				Rakkiyappan, R.; Zhu, Quanxin; Radhika, T.			Design of sampled data state estimator for Markovian jumping neural networks with leakage time-varying delays and discontinuous Lyapunov functional approach	NONLINEAR DYNAMICS																	Rakkiyappan, R./D-6737-2013; Zhu, Quanxin/X-3230-2018	Rakkiyappan, R./0000-0003-0809-2782; Zhu, Quanxin/0000-0003-3130-4923; T, Radhika/0000-0003-2908-4618													0924-090X	1573-269X				AUG	2013	73	3					1367	1383		10.1007/s11071-013-0870-3	http://dx.doi.org/10.1007/s11071-013-0870-3													WOS:000322014200015
J	Fabris, M; Zelazo, D				Fabris, Marco; Zelazo, Daniel			Secure Consensus via Objective Coding: Robustness Analysis to Channel Tampering	IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS																	Zelazo, Daniel/K-8877-2012	Zelazo, Daniel/0000-0002-2931-245X; FABRIS, MARCO/0000-0003-1728-1331													2168-2216	2168-2232				DEC	2022	52	12					7885	7897		10.1109/TSMC.2022.3177756	http://dx.doi.org/10.1109/TSMC.2022.3177756		JUN 2022											WOS:000810024400001
J	Chen, SY; Li, LX; Chen, Z; Li, SQ				Chen, Shiyu; Li, Lingxiang; Chen, Zhi; Li, Shaoqian			Dynamic Pricing for Smart Mobile Edge Computing: A Reinforcement Learning Approach	IEEE WIRELESS COMMUNICATIONS LETTERS																															2162-2337	2162-2345				APR	2021	10	4					700	704		10.1109/LWC.2020.3039863	http://dx.doi.org/10.1109/LWC.2020.3039863													WOS:000639653500003
J	Nannapaneni, S; Narayanan, A; Ak, R; Lechevalier, D; Sexton, T; Mahadevan, S; Lee, YTT				Nannapaneni, Saideep; Narayanan, Anantha; Ak, Ronay; Lechevalier, David; Sexton, Thurston; Mahadevan, Sankaran; Lee, Yung-Tsun Tina			Predictive Model Markup Language (PMML) Representation of Bayesian Networks: An Application in Manufacturing	SMART AND SUSTAINABLE MANUFACTURING SYSTEMS																		Sexton, Rachael/0000-0001-5904-2887													2520-6478	2572-3928					2018	2	1					87	113		10.1520/SSMS20180018	http://dx.doi.org/10.1520/SSMS20180018								31276104					WOS:000446012400001
J	Ziyatdinov, NN; Emel'yanov, II; Lapteva, TV; Ryzhova, AA; Ignat'ev, AN				Ziyatdinov, N. N.; Emel'yanov, I. I.; Lapteva, T. V.; Ryzhova, A. A.; Ignat'ev, A. N.			Method of Automated Synthesis of Optimal Heat Exchange Network (HEN) Based on the Principle of Fixation of Variables	THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING																		Lapteva, Tatyana/0000-0003-2846-8337; Ryzhov, Denis/0000-0002-0273-0336; Ziyatdinov, Nadir/0000-0002-2314-8935; Ryzova, Alina/0000-0001-5918-8296													0040-5795	1608-3431				MAR	2020	54	2					258	276		10.1134/S0040579520020189	http://dx.doi.org/10.1134/S0040579520020189													WOS:000531439700002
J	Fuemmeler, JA; Atia, GK; Veeravalli, VV				Fuemmeler, Jason A.; Atia, George K.; Veeravalli, Venugopal V.			Sleep Control for Tracking in Sensor Networks	IEEE TRANSACTIONS ON SIGNAL PROCESSING																															1053-587X	1941-0476				SEP	2011	59	9					4354	4366		10.1109/TSP.2011.2159496	http://dx.doi.org/10.1109/TSP.2011.2159496													WOS:000293757300021
J	Manivannan, R; Samidurai, R; Cao, J; Alsaedi, A; Alsaadi, FE				Manivannan, R.; Samidurai, R.; Cao, Jinde; Alsaedi, Ahmed; Alsaadi, Fuad E.			Design of extended dissipativity state estimation for generalized neural networks with mixed time-varying delay signals	INFORMATION SCIENCES																	Alsaadi, Fuad E/Q-6022-2018; Cao, Jinde/D-1482-2012; Jinde, Cao/L-2658-2017; Alsaedi, Ahmed/A-2094-2013	Cao, Jinde/0000-0003-3133-7119; R, Samidurai/0000-0003-0265-9426; Manivannan, Dr. Raman/0000-0003-4212-1305													0020-0255	1872-6291				JAN	2018	424						175	203		10.1016/j.ins.2017.10.007	http://dx.doi.org/10.1016/j.ins.2017.10.007													WOS:000414889900011
J	Femenias, G; Riera-Palou, F				Femenias, Guillem; Riera-Palou, Felip			Scheduling and Resource Allocation in Downlink Multiuser MIMO-OFDMA Systems	IEEE TRANSACTIONS ON COMMUNICATIONS																	Riera-Palou, Felip/L-4868-2014; Femenias, Guillem/K-6534-2014	Riera-Palou, Felip/0000-0001-7080-3173; Femenias, Guillem/0000-0003-2002-1733													0090-6778	1558-0857				MAY	2016	64	5					2019	2034		10.1109/TCOMM.2016.2547424	http://dx.doi.org/10.1109/TCOMM.2016.2547424													WOS:000376097300017
J	Kallrath, J				Kallrath, Josef			Combined strategic design and operational planning in the process industry	COMPUTERS & CHEMICAL ENGINEERING																															0098-1354	1873-4375				DEC 10	2009	33	12			SI		1983	1993		10.1016/j.compchemeng.2009.06.020	http://dx.doi.org/10.1016/j.compchemeng.2009.06.020													WOS:000271688000010
J	Mao, C; Shen, ZJ				Mao, Chao; Shen, Zuojun			A reinforcement learning framework for the adaptive routing problem in stochastic time-dependent network	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES																	Shen, Zuo-Jun Max/JXM-7549-2024	Shen, Zuo-Jun Max/0000-0003-4538-8312													0968-090X					AUG	2018	93						179	197		10.1016/j.trc.2018.06.001	http://dx.doi.org/10.1016/j.trc.2018.06.001													WOS:000442173400011
J	Xu, YH; Wei, YR; Jiang, KY; Chen, L; Wang, D; Deng, HB				Xu, Yahao; Wei, Yiran; Jiang, Keyang; Chen, Li; Wang, Di; Deng, Hongbin			Action decoupled SAC reinforcement learning with discrete-continuous hybrid action spaces	NEUROCOMPUTING																															0925-2312	1872-8286				JUN 7	2023	537						141	151		10.1016/j.neucom.2023.03.054	http://dx.doi.org/10.1016/j.neucom.2023.03.054		APR 2023											WOS:000976889800001
J	Chen, LT; Wandelt, S; Dai, WB; Sun, XQ				Chen, Liting; Wandelt, Sebastian; Dai, Weibin; Sun, Xiaoqian			Scalable Vertiport Hub Location Selection for Air Taxi Operations in a Metropolitan Region	INFORMS JOURNAL ON COMPUTING																	Wandelt, Sebastian/ISB-7340-2023														1091-9856	1526-5528				MAR-APR	2022	34	2					834	856		10.1287/ijoc.2021.1109	http://dx.doi.org/10.1287/ijoc.2021.1109		NOV 2021											WOS:000731974700001
J	Stevens, DL; Olsen, AR				Stevens, DL; Olsen, AR			Spatially restricted surveys over time for aquatic resources	JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS					Conference on Environmental Monitoring Surveys Over Time	1998	UNIV WASHINGTON, SEATTLE, WASHINGTON	Univ Washington Natl Res Ctr Statist & Envirnom, US Envirnom Protect Agcy, USDA Forest Serv, Nat Resources Inventory & Analysis Inst, Nat Resource Conservat Serv, USDA Forest Serv, Inventory & Monitor Inst & Forest Inventory & Analysis	UNIV WASHINGTON									Olsen, Anthony R./0000-0001-7263-3868													1085-7117					DEC	1999	4	4					415	428																WOS:000084270800009
C	Djilali, T; Nassiet, V; Hassoune-Rhabbour, B		Karama, M		Djilali, T.; Nassiet, V.; Hassoune-Rhabbour, B.			Graft Interpenetrating Continuous Epoxy-Polysiloxane polymeric network	STRUCTURAL ANALYSIS OF ADVANCED MATERIALS	Key Engineering Materials				International Conference on Structural Analysis of Advanced Materials (ICSAAM 2009)	SEP 07-10, 2009	Tarbes, FRANCE											Hassoune, Bouchra/0000-0001-5333-6606; Nassiet, Valerie/0000-0002-1550-2818													1013-9826						2010	446						111	119		10.4028/www.scientific.net/KEM.446.111	http://dx.doi.org/10.4028/www.scientific.net/KEM.446.111													WOS:000291709000012
J	Wang, YQ; Chen, F; Zhuang, GM; Yang, G				Wang, Yanqian; Chen, Fu; Zhuang, Guangming; Yang, Guang			Dynamic event-based mixed <i>H</i><sub>∞</sub> and dissipative asynchronous control for Markov jump singularly perturbed systems	APPLIED MATHEMATICS AND COMPUTATION																															0096-3003	1873-5649				DEC 1	2020	386								125443	10.1016/j.amc.2020.125443	http://dx.doi.org/10.1016/j.amc.2020.125443													WOS:000555703300007
C	Zhang, LC		Khaddaj, S		Zhang, Lichen			Modeling Automotive Cyber Physical Systems	2013 12TH INTERNATIONAL SYMPOSIUM ON DISTRIBUTED COMPUTING AND APPLICATIONS TO BUSINESS, ENGINEERING & SCIENCE (DCABES)					12th International Symposium on Distributed Computing and Applications to Business, Engineering and Science (DCABES)	SEP 02-04, 2012	Kingston Univ, London, ENGLAND	Univ Greenwich, Kingston Univ, Component & Distributed Syst Res Grp, BCS Chartered Inst IT, Distributed & Scalable Comp Specialist Grp, Wuhan Univ Technol, Univ Wyoming, Enterprise Europe Network, London Math Soc	Kingston Univ																								978-0-7695-5060-2				2013							71	75		10.1109/DCABES.2013.20	http://dx.doi.org/10.1109/DCABES.2013.20													WOS:000328118300015
J	Luong, P; Gagnon, F; Despins, C; Tran, LN				Phuong Luong; Gagnon, Francois; Despins, Charles; Le-Nam Tran			Optimal Energy-Efficient Beamforming Designs for Cloud-RANs With Rate-Dependent Fronthaul Power	IEEE TRANSACTIONS ON COMMUNICATIONS																	Tran, Le-Nam/I-3274-2018; Gagnon, Francois/E-1923-2013	Tran, Le-Nam/0000-0002-9317-9980; Gagnon, Francois/0000-0002-4558-3401													0090-6778	1558-0857				JUL	2019	67	7					5099	5113		10.1109/TCOMM.2019.2906590	http://dx.doi.org/10.1109/TCOMM.2019.2906590													WOS:000476750300043
J	He, J; Zhang, Y; Gao, P; Tian, JW; Tian, T				He, Jiang; Zhang, Yao; Gao, Peng; Tian, Jinwen; Tian, Tian			Label Embedding Based on Interclass Correlation Mining for Remote Sensing Image Scene Classification	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS																															1545-598X	1558-0571					2024	21								7504605	10.1109/LGRS.2024.3398722	http://dx.doi.org/10.1109/LGRS.2024.3398722													WOS:001231500300004
J	Ortiz, L; Aguila, A				Ortiz, L.; Aguila, A.			Modeling and Control of an Automated System in Surgical Microscopy Based on Petri Nets	IEEE LATIN AMERICA TRANSACTIONS																	Ortiz, Leony/AAW-9040-2020; Aguila Téllez, Alexander/M-8440-2015	Aguila Téllez, Alexander/0000-0001-7749-5644; ORTIZ MATOS, LEONY/0000-0002-7883-5513													1548-0992					JAN	2016	14	1					96	101		10.1109/TLA.2016.7430067	http://dx.doi.org/10.1109/TLA.2016.7430067													WOS:000372644300013
J	Zhou, YW; Yang, B; Mu, Y; Xia, Z				Zhou, Yanwei; Yang, Bo; Mu, Yi; Xia, Zhe			Continuous leakage-resilient access control for wireless sensor networks	AD HOC NETWORKS																	Yang, Bo/D-2691-2012; Mu, Yi/AAC-3871-2019	YanWei, ZHOU/0000-0002-7254-3579													1570-8705	1570-8713				NOV	2018	80						41	53		10.1016/j.adhoc.2018.07.001	http://dx.doi.org/10.1016/j.adhoc.2018.07.001													WOS:000448097400004
J	Nguyen, HV; Nguyen, VD; Dobre, OA; Sharma, SK; Chatzinotas, S; Ottersten, B; Shin, OS				Nguyen, Hieu V.; Nguyen, Van-Dinh; Dobre, Octavia A.; Sharma, Shree Krishna; Chatzinotas, Symeon; Ottersten, Bjorn; Shin, Oh-Soon			On the Spectral and Energy Efficiencies of Full-Duplex Cell-Free Massive MIMO	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS																	Ottersten, Bjorn/AAF-9147-2019; Chatzinotas, Symeon/D-4191-2015; NGUYEN, VAN-DINH/ABE-6038-2020; Dobre, Octavia/B-1435-2008; Nguyen, Hieu V./Z-5567-2019; Ottersten, Bjorn/G-1005-2011	Chatzinotas, Symeon/0000-0001-5122-0001; NGUYEN, VAN-DINH/0000-0002-9575-1063; Dobre, Octavia/0000-0001-8528-0512; Nguyen, Hieu V./0000-0001-6906-4019; Ottersten, Bjorn/0000-0003-2298-6774; Sharma, Dr. Shree Krishna/0000-0001-9823-2886; Shin, Oh-Soon/0000-0002-6984-8240													0733-8716	1558-0008				AUG	2020	38	8					1698	1718		10.1109/JSAC.2020.3000810	http://dx.doi.org/10.1109/JSAC.2020.3000810													WOS:000562039400004
J	Qin, XL; Wang, C; Li, LX; Peng, HP; Ye, L				Qin, Xiaoli; Wang, Cong; Li, Lixiang; Peng, Haipeng; Ye, Lu			Finite-Time Lag Synchronization of Memristive Neural Networks With Multi-Links via Adaptive Control	IEEE ACCESS																	Li, lixiang/G-6222-2011	Chen, Chuan/0000-0001-6146-6419													2169-3536						2020	8						55398	55410		10.1109/ACCESS.2020.2977262	http://dx.doi.org/10.1109/ACCESS.2020.2977262													WOS:000524750000056
J	Zamart, C; Botmart, T				Zamart, Chantapish; Botmart, Thongchai			Further improvement of finite-time boundedness based nonfragile state feedback control for generalized neural networks with mixed interval time-varying delays via a new integral inequality	JOURNAL OF INEQUALITIES AND APPLICATIONS																	Botmart, Thongchai/AAF-7113-2021	Botmart, Thongchai/0000-0001-9325-5560													1029-242X					APR 24	2023	2023	1							61	10.1186/s13660-023-02973-7	http://dx.doi.org/10.1186/s13660-023-02973-7													WOS:000978745500001
J	Sun, WL; Wu, XK; Wang, YP; Yu, GZ				Sun, Weili; Wu, Xinkai; Wang, Yunpeng; Yu, Guizhen			A continuous-flow-intersection-lite design and traffic control for oversaturated bottleneck intersections	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES																															0968-090X					JUL	2015	56						18	33		10.1016/j.trc.2015.03.011	http://dx.doi.org/10.1016/j.trc.2015.03.011													WOS:000356733400002
J	Zhou, DQ; Gayah, VV				Zhou, Dongqin; Gayah, Vikash V.			Model-free perimeter metering control for two-region urban networks using deep reinforcement learning	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES																	Gayah, Vikash V/A-9052-2013	Zhou, Dongqin/0009-0008-7550-8120; Gayah, Vikash/0000-0002-0648-3360													0968-090X	1879-2359				MAR	2021	124								102949	10.1016/j.trc.2020.102949	http://dx.doi.org/10.1016/j.trc.2020.102949		JAN 2021											WOS:000620808200004
C	Mo, JW; Yin, YL; Gao, MX		Wang, XY; Shen, J		Mo Junwen; Yin Yilin; Gao Mingxia			Modeling correlation in project scheduling networks (ID: 5-047)	PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS 1-5: INDUSTRIAL ENGINEERING AND MANAGEMENT INNOVATION IN NEW-ERA	International Conference on Industrial Engineering and Engineering Management IEEM				13th International Conference on Industrial Engineering and Engineering Management	AUG 12-14, 2006	Shandong Univ, Weihai, PEOPLES R CHINA	Chinese Mech Engn Soc, Ind Engn Inst, Korean Inst Ind Engineers, Natl Nat Sci Fdn China	Shandong Univ																						2157-3611		978-7-111-04596-0				2006							1876	1884																WOS:000243868802047
J	Zhou, JP; Wang, Y; Zheng, X; Wang, Z; Shen, H				Zhou, Jianping; Wang, Yang; Zheng, Xiao; Wang, Zhen; Shen, Hao			Weighted H consensus design for stochastic multi-agent systems subject to external disturbances and ADT switching topologies	NONLINEAR DYNAMICS																	Zhou, Jianping/G-9007-2011; zhen, wang/KBA-3844-2024; shen, hao/HGF-0551-2022; Zhen, Wang/AAF-8133-2019	Zhou, Jianping/0000-0002-7024-1227; Zhen, Wang/0000-0001-7188-5828													0924-090X	1573-269X				APR	2019	96	2					853	868		10.1007/s11071-019-04826-9	http://dx.doi.org/10.1007/s11071-019-04826-9													WOS:000465633400005
J	Cheng, J; Xiang, HL; Wang, HL; Liu, ZJ; Hou, LY				Cheng, Jun; Xiang, Huili; Wang, Hailing; Liu, Zhijun; Hou, Liyuan			Finite-time stochastic contractive boundedness of Markovian jump systems subject to input constraints	ISA TRANSACTIONS																	YANG, DAN/KCL-5217-2024; Cheng, Jun/AAE-6928-2019	Cheng, Jun/0000-0002-3483-747X													0019-0578	1879-2022				JAN	2016	60						74	81		10.1016/j.isatra.2015.10.021	http://dx.doi.org/10.1016/j.isatra.2015.10.021								26596242					WOS:000370832400008
J	Detenbeck, NE; Cincotta, D; Denver, JM; Greenlee, SK; Olsen, AR; Pitchford, AM				Detenbeck, NE; Cincotta, D; Denver, JM; Greenlee, SK; Olsen, AR; Pitchford, AM			Watershed-based survey designs	ENVIRONMENTAL MONITORING AND ASSESSMENT					Environment Monitoring and Assessment Program Symposium	MAY 07-09, 2002	Kansas City, MO											Olsen, Anthony R./0000-0001-7263-3868													0167-6369					APR	2005	103	1-3					59	81		10.1007/s10661-005-4774-7	http://dx.doi.org/10.1007/s10661-005-4774-7								15861987					WOS:000227943100005
J	Cafaro, VG; Cafaro, DC; Méndez, CA; Cerdá, J				Cafaro, Vanina G.; Cafaro, Diego C.; Mendez, Carlos A.; Cerda, Jaime			Detailed Scheduling of Operations in Single-Source Refined Products Pipelines	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH																	MENDEZ, CARLOS A/F-1850-2010	MENDEZ, CARLOS A/0000-0001-7580-3121; Cafaro, Diego/0000-0002-3893-5106													0888-5885					MAY 18	2011	50	10					6240	6259		10.1021/ie200007a	http://dx.doi.org/10.1021/ie200007a													WOS:000290373200039
J	Hua, WH; Xiong, LH; Liu, SC; Chen, LY; Hong, XM; Mota, JFC; Cheng, X				Hua, Wenhui; Xiong, Longhui; Liu, Sicong; Chen, Lingyu; Hong, Xuemin; Mota, Joao F. C.; Cheng, Xiang			Classification-Driven Discrete Neural Representation Learning for Semantic Communications	IEEE INTERNET OF THINGS JOURNAL																	; Zheng, Kan/KHU-7684-2024	Cheng, Xiang/0000-0002-5943-0326; Zheng, Kan/0000-0002-8531-6762; Hua, Wenhui/0000-0003-3711-6384; Shen, Xuemin (Sherman)/0000-0002-4140-287X; Mota, Joao F. C./0000-0001-7263-8255													2327-4662					MAY 1	2024	11	9					16061	16073		10.1109/JIOT.2024.3354312	http://dx.doi.org/10.1109/JIOT.2024.3354312													WOS:001216833600074
J	Tang, RQ; Yang, XS; Wan, XX				Tang, Rongqiang; Yang, Xinsong; Wan, Xiaoxiao			Finite-time cluster synchronization for a class of fuzzy cellular neural networks via non-chattering quantized controllers	NEURAL NETWORKS																	, Xinsong/O-1510-2016	, Xinsong/0000-0003-3599-5020													0893-6080	1879-2782				MAY	2019	113						79	90		10.1016/j.neunet.2018.11.010	http://dx.doi.org/10.1016/j.neunet.2018.11.010								30785012					WOS:000461899900008
J	Li, WH; Gao, XB; Li, RX				Li, Wenhua; Gao, Xingbao; Li, Ruoxia			Stability and synchronization control of inertial neural networks with mixed delays	APPLIED MATHEMATICS AND COMPUTATION																		Gao, Xingbao/0000-0002-3253-7529													0096-3003	1873-5649				FEB 15	2020	367								124779	10.1016/j.amc.2019.124779	http://dx.doi.org/10.1016/j.amc.2019.124779													WOS:000492837900016
J	Rubio-Castro, E; Serna-González, M; Ponce-Ortega, JM; El-Halwagi, MM				Rubio-Castro, Eusiel; Serna-Gonzalez, Medardo; Maria Ponce-Ortega, Jose; El-Halwagi, Mahmoud M.			Synthesis of cooling water systems with multiple cooling towers	APPLIED THERMAL ENGINEERING																	El-Halwagi, Mahmoud/F-7464-2011	El-Halwagi, Mahmoud/0000-0002-0020-2281													1359-4311					JAN 10	2013	50	1					957	974		10.1016/j.applthermaleng.2012.06.015	http://dx.doi.org/10.1016/j.applthermaleng.2012.06.015													WOS:000314191100107
